scheme,serial_number,category,indian_standard,product_or_material,notification_or_qco,marking_or_conformity_route,source_title,source_url,accessed_on
Scheme II (Registration Scheme),25.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Point of Sale Terminals",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),26.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Copying Machines/Duplicators",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),27.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Smart Card Readers",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),28.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Mail Processing Machines/Postage Machines/Franking Machines",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),29.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Passport Reader",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),30.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Power Banks for use in portable applications",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),31.,Unclassified / source table heading,IS 16333 (Part-3),Mobile Phone Handsets Part 3 Indian Language Support for Mobile Phone Handsets – Specific Requirements | Product category: Mobile Phones,"SO No. Nil dated 24th Oct 2016 Date of Implementation 1st July 2017 Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021 Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O.1246 (E) Dated 10 March, 2026 |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),32.,Unclassified / source table heading,IS 10322 (Part 5/Section 2): 2012,Luminaires Part 5: Particular Requirements Section 2 Recessed Luminaires | Product category: Recessed LED Luminaries,"SO 2742 (E), dated 17th August 2017 Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021 Essential Requirement(s) for CCTV as per Annexure S.O. 1652 (E), dated 9th April 2024 Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O.1246 (E) Dated 10 March, 2026 |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),33.,Unclassified / source table heading,IS 10322 (Part 5/Section 3): 2012,Luminaires – Part 5: Particular Requirements Section 3 Luminaires for Road and Street Lighting | Product category: LED Luminaires for Road and Street lighting,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),34.,Unclassified / source table heading,IS 10322 (Part 5/Section 5): 2013,Luminaires – Part 5: Particular Requirements Section 5 Flood Lights | Product category: LED Flood Lights,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
